method,seed,alpha,pop_size,max_iter,best_score_cv,selected_count,runtime_sec,test_acc,test_precision,test_recall,test_f1,selected_file
BPSO,1,0.8,12,20,0.5110587301587303,1391,30.35679006576538,0.5789473684210527,0.6428571428571429,0.75,0.6923076923076923,experiments/selected_bpso_seed1_a0.80.txt
BPSO,2,0.8,12,20,0.558215873015873,1148,30.213317155838013,0.6842105263157895,0.7142857142857143,0.8333333333333334,0.7692307692307693,experiments/selected_bpso_seed2_a0.80.txt
BPSO,3,0.8,12,20,0.5418761904761906,1286,30.24910616874695,0.7894736842105263,0.8333333333333334,0.8333333333333334,0.8333333333333334,experiments/selected_bpso_seed3_a0.80.txt
BPSO,4,0.8,12,20,0.5319984126984127,1207,30.385553121566772,0.8421052631578947,0.9090909090909091,0.8333333333333334,0.8695652173913043,experiments/selected_bpso_seed4_a0.80.txt
DE-FS,1,0.8,12,20,0.5311111111111112,1036,29.79137897491455,0.5263157894736842,0.6,0.75,0.6666666666666666,experiments/selected_de_seed1_a0.80.txt
DE-FS,2,0.8,12,20,0.6299492063492065,992,30.427243947982788,0.7368421052631579,0.7692307692307693,0.8333333333333334,0.8,experiments/selected_de_seed2_a0.80.txt
DE-FS,3,0.8,12,20,0.607431746031746,992,29.976999044418335,0.7368421052631579,0.7333333333333333,0.9166666666666666,0.8148148148148148,experiments/selected_de_seed3_a0.80.txt
DE-FS,4,0.8,12,20,0.5743761904761906,985,29.881315231323242,0.7894736842105263,0.8333333333333334,0.8333333333333334,0.8333333333333334,experiments/selected_de_seed4_a0.80.txt
NetG-PSO-noNetwork,1,0.8,12,20,0.6252063492063492,440,29.3703510761261,0.5789473684210527,0.6428571428571429,0.75,0.6923076923076923,experiments/selected_netg_nonet_seed1_a0.80.txt
NetG-PSO-noNetwork,2,0.8,12,20,0.6522539682539683,360,28.814229726791382,0.7894736842105263,0.8333333333333334,0.8333333333333334,0.8333333333333334,experiments/selected_netg_nonet_seed2_a0.80.txt
NetG-PSO-noNetwork,3,0.8,12,20,0.6493539682539684,389,28.806458950042725,0.7894736842105263,0.8333333333333334,0.8333333333333334,0.8333333333333334,experiments/selected_netg_nonet_seed3_a0.80.txt
NetG-PSO-noNetwork,4,0.8,12,20,0.6341063492063492,351,28.79911708831787,0.8947368421052632,0.9166666666666666,0.9166666666666666,0.9166666666666666,experiments/selected_netg_nonet_seed4_a0.80.txt
BPSO,1,0.8,12,20,0.5110587301587303,1391,29.8393452167511,0.5789473684210527,0.6428571428571429,0.75,0.6923076923076923,experiments/selected_bpso_seed1_a0.80.txt
BPSO,2,0.8,12,20,0.558215873015873,1148,29.793781995773315,0.6842105263157895,0.7142857142857143,0.8333333333333334,0.7692307692307693,experiments/selected_bpso_seed2_a0.80.txt
BPSO,3,0.8,12,20,0.5418761904761906,1286,29.957252025604248,0.7894736842105263,0.8333333333333334,0.8333333333333334,0.8333333333333334,experiments/selected_bpso_seed3_a0.80.txt
BPSO,4,0.8,12,20,0.5319984126984127,1207,29.957417964935303,0.8421052631578947,0.9090909090909091,0.8333333333333334,0.8695652173913043,experiments/selected_bpso_seed4_a0.80.txt
DE-FS,1,0.8,12,20,0.5311111111111112,1036,29.303592205047607,0.5263157894736842,0.6,0.75,0.6666666666666666,experiments/selected_de_seed1_a0.80.txt
DE-FS,2,0.8,12,20,0.6299492063492065,992,29.569781064987183,0.7368421052631579,0.7692307692307693,0.8333333333333334,0.8,experiments/selected_de_seed2_a0.80.txt
DE-FS,3,0.8,12,20,0.607431746031746,992,29.47200584411621,0.7368421052631579,0.7333333333333333,0.9166666666666666,0.8148148148148148,experiments/selected_de_seed3_a0.80.txt
DE-FS,4,0.8,12,20,0.5743761904761906,985,29.51091718673706,0.7894736842105263,0.8333333333333334,0.8333333333333334,0.8333333333333334,experiments/selected_de_seed4_a0.80.txt
NetG-PSO-noNetwork,1,0.8,12,20,0.6147587301587303,354,28.499018907546997,0.6842105263157895,0.6875,0.9166666666666666,0.7857142857142857,experiments/selected_netg_nonet_seed1_a0.80.txt
NetG-PSO-noNetwork,2,0.8,12,20,0.6742714285714286,343,28.738152027130127,0.8421052631578947,0.8461538461538461,0.9166666666666666,0.88,experiments/selected_netg_nonet_seed2_a0.80.txt
NetG-PSO-noNetwork,3,0.8,12,20,0.635784126984127,512,28.93129873275757,0.7894736842105263,0.7857142857142857,0.9166666666666666,0.8461538461538461,experiments/selected_netg_nonet_seed3_a0.80.txt
NetG-PSO-noNetwork,4,0.8,12,20,0.6556539682539684,326,28.74103593826294,0.8947368421052632,0.9166666666666666,0.9166666666666666,0.9166666666666666,experiments/selected_netg_nonet_seed4_a0.80.txt
